COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
9489500%,(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT ,,, , ,"(Liquidambar Formosana/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of  Liquidambar formosana  and  Tribulus terrestris, and the roots of Paeonia lactiflora.",,SKIN CONDITIONING,4307000%
8946100%,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,,, , ," (Magnolia Officinalis/Phellodendron Amurense) Bark/Camellia Japonica Leaf/Zingiber Officinale Root/Citrus Paradisi Seed Water is the aqueous solution obtained from the steam distillates of the bark of Magnolia officinalis and Phellodendron amurense , the roots of Zingiber officinale and the seeds of Citrus paradisi",,"ANTI-SEBUM, ANTIMICROBIAL, ANTIOXIDANT, SKIN CONDITIONING",4131200%
9536000%,(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT,,, , ,"This is the extract of the bark of  Paeonia lactiflora  , and  Phellodendron amurense  ; the sap of  Paeonia lactiflora  ; the leaves of  Mentha arvensis  ; and the roots of  Scutellaria baicalensis. ",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4303800%
9716700%,(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT,,, , ,"(Panax Ginseng Meristem Cell + Taxus Cuspidata Meristem Cell Culture Conditioned Media + Panax Ginseng Leaf/Root/Stem Powder) Extract is the extract of the mixture of Panax Ginseng Meristem Cell, Taxus Cuspidata Meristem Cell Culture Conditioned Media dried, and the dried, ground leaves, roots and stems of Panax ginseng.",,ANTIOXIDANT,4355300%
9709800%,(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP,,, , ,(sh-Pentapeptide-10 6-Aminocaprooyl sh-Pentapeptide-11) SP is the synthetic peptide consisting of sh-Pentapeptide-10 SP and sh-Pentapeptide-11 SP linked with 6-Aminocaproic Acid.,,"HUMECTANT, SKIN CONDITIONING",4355300%
3966100%,"1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE",,, 59354-71-1, 261-715-3,"1,1-Dimethyl-2-phenylethyl 2-methylpropanoate",,PERFUMING,4060400%
3924200%,"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",,, 10031-71-7, 233-092-8,"1,1-Dimethyl-3-phenylpropyl 2-methylpropanoate",,PERFUMING,4060400%
5416800%,"1,10-DECANEDIOL",,, 112-47-0, 203-975-2,Decamethylene Glycol,,SOLVENT,4046600%
4051200%,"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",,, 41199-19-3, 255-256-8,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethyl-2-naphthol",,PERFUMING,4060400%
4050700%,"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",,, 65405-72-3, 265-742-1,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate",,PERFUMING,4060400%
3146400%,"1,2,4-BENZENETRIACETATE",,, 613-03-6, 210-327-2,"Benzene-1,2,4-triyl triacetate",II/1254,HAIR DYEING,4046600%
3146500%,"1,2,4-TRIHYDROXYBENZENE",,, 533-73-3, 208-575-1,"Benzene-1,2,4-triol",,HAIR DYEING,4404000%
3146600%,"1,2,6-HEXANETRIOL",,, 106-69-4, 203-424-6,"Hexane-1,2,6-triol",,"HUMECTANT, SOLVENT, VISCOSITY CONTROLLING",4269200%
9735800%,"1,2-BIS-(2-AMINOETHOXY)ETHANE",,, , ,"Bis-Aminoethyl Glycol,Ethanamine, 2,2'-[1,2-ethanediylbis(oxy)]bis-",,NOT REPORTED,4374100%
5416900%,"1,2-BUTANEDIOL",,, 584-03-2, 209-527-2,,,"HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING",4046600%
3956300%,"1,2-DIHYDROLINALOOL",,, 18479-51-1, 242-359-8,"3,7-Dimethyloct-6-en-3-ol",,PERFUMING,4060400%
5417000%,"1,2-HEXANEDIOL",,, 6920-22-5, 230-029-6,,,"SKIN CONDITIONING, SOLVENT",4360100%
9116700%,"1,2-HEXANEDIYL DICAPRATE",,, , ,"1,2-Bis(decanoyloxy)hexane",,BLEACHING,4184300%
9801800%,"1,3,4,6-TETRAMETHYL-2-PYRIMIDONE SULFATE",,, , ,"Pyrimidinium, 2,3-dihydro-1,3,4,6-tetramethyl-2-oxo-, sulfate (1:1)",,HAIR DYEING,4395100%
9260700%,"1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL ",,, 74918-21-1, 278-022-7 ,"4,4'-[Propane-1,3-Diylbis(Oxy)]Bisbenzene-1,3-Diaminetetrahydrochloride",,NOT REPORTED,4304700%
3146700%,"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",,, 81892-72-0, 279-845-4,"4,4'-[1,3-propanediylbis(oxy)]bisbenzene-1,3-diamine",III/202,HAIR DYEING,4269000%
4153500%,"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",,, 74918-21-1, 278-022-7,"4,4'-[Propane-1,3-Diylbis(Oxy)]Bisbenzene-1,3-Diaminetetrahydrochloride",III/202,HAIR DYEING,4046600%
9528000%,"1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE",,, 38661-72-2, 609-567-4 ,"Cyclohexane, 1,3-bis(isocyanatomethyl)-",,NOT REPORTED,4310900%
3965800%,"1,3-DIMETHYL-3-PHENYLBUTYL ACETATE",,, 68083-58-9, 268-407-8,"1,3-Dimethyl-3-phenylbutyl acetate",,PERFUMING,4060400%
3959200%,"1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE",,, 104516-97-4, ,"1,3-Dimethyl-bicyclo[2.2.1]heptane-2-carbonitrile",,PERFUMING,4060400%
5417300%,"1,4-BUTANEDIOL",,, 110-63-4, 203-786-5,"Butane - 1,4 - diol",,SOLVENT,4046600%
8810600%,"1,4-BUTANEDIOL BISDECANOATE",,, , ,"1,4-Butanediol Bisdecanoate is the organic compound.",,BLEACHING,4177300%
8323900%,"1,4-BUTANEDIOL DIMETHACRYLATE",,, 2082-81-7, 218-218-1,Tetramethylene dimethacrylate,,FILM FORMING,4046600%
9691700%,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID COPOLYMER",,, 67423-06-7, ,"1,4-Butanediol/Succinic Acid/Adipic Acid Copolymer is a copolymer of adipic acid, 1,4-butanediol and succinic acid.",,ABRASIVE,4355300%
9281100%,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",,, 119553-67-2, ,"Hexanedioic acid, polymer with butanedioic acid, 1,4-butanediol and 1,6-diisocyanatohexane",,"ABRASIVE, BINDING, FILM FORMING",4219100%
9744600%,"1,4-CYCLOHEXANEDICARBOXYLIC ACID",,, 1076-97-7, 214-068-6,"1,4-Cyclohexanedicarboxylic Acid is the organic acid that conforms to the formula",,NOT REPORTED,4374100%
8810500%,"1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE",,, , ,"1,4-Cyclohexanediol Bis-Ethylhexanoate is the organic compound ",,BLEACHING,4177300%
4123200%,"1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE",,, 13786-79-3 / 71735-79-0, 237-443-6 / 275-967-7 ,"1,5,9-Trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene; Trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene ",,PERFUMING,4060400%
3925900%,"1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE",,, 7779-23-9, 231-922-3,"1,5-Dimethyl-1-vinylhex-4-enyl hexanoate",,PERFUMING,4060400%
3146800%,"1,5-NAPHTHALENEDIOL",,, 83-56-7, 201-487-4,"Naphthalene-1,5-diol (CI 76625)",III/32,HAIR DYEING,4046600%
8139700%,"1,5-PENTANEDIOL",,, 111-29-5, 203-854-4,"Pentane-1,5-diol",,SOLVENT,4046600%
9641700%,"1,6-HDI/POLYVINYL ALCOHOL/ETHYLENEDIAMINE CROSSPOLYMER",,, , ,"1,6-HDI/Polyvinyl Alcohol/Ethylenediamine Crosspolymer is a crosslinked polymer produced by the reaction of 1,6-Hexamethylene Diisocyanate  with Polyvinyl Alcohol. This urethane polymer is subsequently crosslinked by reaction with Ethylenediamine.",,FILM FORMING,4355300%
9528100%,"1,6-HEXAMETHYLENE DIISOCYANATE",,, 822-06-0, 212-485-8,"1,6-Diisocyanatohexane,HDI,1,6-Hexanediol diisocyanate",,NOT REPORTED,4320800%
8354200%,"1,6-HEXANEDIAMINE",,, 124-09-4, 204-679-6,Hexamethylenediamine,,BUFFERING,4046600%
4170800%,"1,7-NAPHTHALENEDIOL",,, 575-38-2, 209-383-0,"1,7-Naphthalenediol",II/1228,HAIR DYEING,4046600%
5417600%,1-ACETONAPHTHONE,,, 941-98-0, 213-384-1,1-(1-Naphthalenyl)ethanone; 1'-Acetonaphthone ,,"FRAGRANCE, PERFUMING",4046600%
3146900%,1-ACETOXY-2-METHYLNAPHTHALENE,,, 5697-02-9 , 454-690-7,"1-Naphthalenol, 2-methyl-, acetate",Annex III/212,HAIR DYEING,4362200%
9801500%,"1-ALLYL-3,4,6-TRIMETHYL-2-PYRIMIDONE BROMIDE",,, 878476-91-6, ,"Pyrimidinium, 2,3-dihydro-1,4,6-trimethyl-2-oxo-3-(2- propen-1-yl)-, bromide (1:1)",,HAIR DYEING,4395100%
3989400%,1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,,, 31996-78-8, 403-610-9,"1-Ethyl-3-methoxy-tricyclo[2.2.1.02.6]heptane; Tricyclo(2.2.1.02,6)heptane, 1-ethyl-3-methoxy-
",,PERFUMING,4060400%
3984100%,"1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL",,, 67663-05-2, 266-851-7,"1-Ethylcyclohexane-1,4-dimethanol",,PERFUMING,4060400%
4000900%,1-FURFURYL-1H-PYRROLE,,, 1438-94-4, 215-876-1,1-Furfuryl-1H-pyrrole,,PERFUMING,4060400%
4018800%,1-HEXEN-3-OL,,, 4798-44-1, 225-355-0,Hex-1-en-3-ol,,PERFUMING,4060400%
9229800%,"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",,, 1361000-03-4, ,"1H-Pyrazole-4,5-diamine, 1-hexyl-, sulfate (2:1)",III/300,HAIR DYEING,4317200%
5417700%,"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",,, 155601-30-2, 429-300-3,"1H-Pyrazole-1-Ethanol, 4,5 diamino-, sulfate; 1-(2-hydroxyethyl)-1H-pyrazol-4,5-diyldiammoniumsulfate",,HAIR DYEING,4046600%
3971200%,1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,,, 67920-94-9, 267-755-8,1-Isopropyl-4-methylbicyclo[2.2.2]oct-5-ene-2-carbaldehyde,,PERFUMING,4060400%
4071700%,1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED,,, 68921-26-6, 272-933-3,"1-Methyl-4-(1-methylethenyl)-cyclohexene, sulfurized",,PERFUMING,4060400%
4072900%,1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,,, 138-87-4, 205-342-6,1-Methyl-4-(1-methylvinyl)cyclohexan-1-ol,,PERFUMING,4060400%
4073100%,1-METHYL-4-METHYLVINYL-CYCLOHEXENE,,, 7705-14-8 / 6876-12-6, 231-732-0 / 229-977-3,(+/-)-1-Methyl-4-(1-methylvinyl)cyclohexene; trans-1-Methyl-4-(1-methylvinyl)cyclohexene,"III/88
III/167
III/168",PERFUMING,4046600%
4073200%,1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE,,, 10198-23-9, 233-494-3,1-Methyl-4-(1-methylvinyl)cyclohexyl acetate,,PERFUMING,4060400%
4066100%,1-METHYLDECYL ACETATE,,, 14936-67-5, 239-011-2,1-Methyldecyl acetate,,PERFUMING,4060400%
5417800%,1-METHYLHYDANTOIN-2-IMIDE,,, 60-27-5, 200-466-7,"4H-Imidazol-4-one, 2-amino-1,5-Dihydro-1-Methyl-",,SKIN CONDITIONING,4046600%
9093500%,1-NAPHTHALENEACETIC ACID,,, 86-87-3, ,1-Naphthaleneacetic Acid is the organic compound,,SKIN CONDITIONING,4142200%
3147000%,1-NAPHTHOL,,, 90-15-3, 201-969-4,1-naphthol (CI 76605),III/16,HAIR DYEING,4266800%
9545300%,1-NITROPROPANE,,, 108-03-2, 203-544-9,"Propane, 1-nitro-",,SOLVENT,4315400%
4099400%,1-NONEN-3-OL,,, 21964-44-3, 244-686-1,Non-1-en-3-ol,,PERFUMING,4060400%
4058200%,1-PENTEN-3-OL,,, 616-25-1, 210-472-1,Pent-1-en-3-ol,,PERFUMING,4060400%
4064300%,1-PHENYLPROPYL ACETATE,,, 2114-29-6, 218-312-2,1-Phenylpropyl acetate,,PERFUMING,4060400%
4120100%,1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,,, 7779-30-8, 231-926-5,"1-(2,6,6-Trimethyl-2-cyclohexenyl)pent-1-en-3-one",,PERFUMING,4060400%
4119900%,1-TRIMETHYL-3-CYCLOHEXENYLETHANONE,,, 68480-14-8, 270-891-0,"1-(3,5,6-Trimethyl-3-cyclohexenyl)ethan-1-one",,PERFUMING,4060400%
4028200%,"10-HYDROXY-1,8-P-MENTHADIENE",,, 15766-66-2, 239-857-2,4-Methyl-gamma-methylenecyclohex-3-ene-1-propan-1-ol,,PERFUMING,4060400%
5417400%,10-HYDROXYDECANOIC ACID,,, 1679-53-4, 216-848-1,10-Hydroxydecanoic acid,,SKIN CONDITIONING,4046600%
5417500%,10-HYDROXYDECENOIC ACID,,, 765-01-5, -,10-Hydroxy-trans-2-decenoic acid,,SKIN CONDITIONING,4046600%
9202700%,10-HYDROXYSTEARIC ACID,,, 638-26-6, ,"Octadecanoic acid, 10-hydroxy-",,"SKIN CONDITIONING, SKIN PROTECTING",4184300%
4127500%,10-UNDECENYL ACETATE,,, 112-19-6, 203-944-3,Undec-10-enyl acetate,,PERFUMING,4060400%
9816800%,16-ALPHA ETHYL ESTRADIOLCARBOXYLATE,,, 345294-78-2, ,"Estra-1,3,5(10)-triene-16-carboxylic acid, 3,17-dihydroxy-, ethyl ester, (16a,17ß)-",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4395100%
9800200%,16-BETA METHYL ESTRADIOLPROPANOATE,,, , ,16-Beta Methyl Estradiolpropanoate is the derivative of Estradiol that conforms to the formula: ,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4395100%
9673700%,2'-DEOXYADENOSINE,,," 958-09-8,16373-93-6"," 213-488-7 (I),","(2R,3S,5R)-5-(6-amino-9H-purin-9-yl)-2-(hydroxymethyl)oxolan-3-ol ",,HAIR CONDITIONING,4355300%
4160100%,"2,2'-METHYLENEBIS-4-AMINOPHENOL",,, 63969-46-0, 440-850-3,"Bis-(5-amino-2-hydroxyphenyl)-methane
",,HAIR DYEING,4218800%
5417900%,"2,2'-METHYLENEBIS-4-AMINOPHENOL HCL",,, 27311-52-0, -,"Phenol, 2,2'-methylenebis[4-amino-], dihydrochloride",,HAIR DYEING,4269000%
3147100%,"2,2'-THIOBIS(4-CHLOROPHENOL)",fenticlor,, 97-24-5, 202-568-7,"2,2'-Thiobis(4-chlorophenol)",,ANTIMICROBIAL,4046600%
3924100%,"2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE",,, 1009-62-7, 213-771-5,"2,2-Dimethyl-3-phenylpropionaldehyde; phenylneopentanal",,PERFUMING,4060400%
4051100%,"2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",,, 643-53-8, 211-399-8,"2,3,4,4a,5,6,7,8-Octahydro-2,5,5-trimethyl-2-naphthol",,PERFUMING,4060400%
4120500%,"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",,, 67801-27-8, 267-147-2,"2,3,6-Trimethylcyclohexylmethyl acetate",,PERFUMING,4060400%
4123900%,"2,3,6-TRIMETHYLPHENOL",,, 2416-94-6, 219-330-3,"2,3,6-Trimethylphenol",,PERFUMING,4060400%
5418000%,"2,3-BUTANEDIOL",,, 513-85-9; 5341-95-7; 24347-58-8 , 208-173-6; 823-920-1; 246-186-9,"2,3-Butylene Glycol",,"FRAGRANCE, HUMECTANT, SKIN CONDITIONING, SOLVENT",4365800%
8327400%,"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",,, 857035-95-1, 469-500-8,,,HAIR DYEING,4266800%
3954200%,"2,3-DIETHYLPYRAZINE",,, 15707-24-1, 239-800-1,"2,3-Diethylpyrazine",,PERFUMING,4060400%
3958200%,"2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE",,, 116-26-7, 204-133-7,"2,3-Dihydro-2,2,6-trimethylbenzaldehyde; Safranal",,PERFUMING,4060400%
3964700%,"2,3-DIMETHYL-2-NONENENITRILE",,, 53153-67-6, 258-399-4,"2,3-Dimethylnon-2-enenitrile",,PERFUMING,4060400%
3925400%,"2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",,, 71850-78-7, 276-097-0,"2,3-Dimethyl-4-(2,6,6-trimethyl-1-cyclohexenyl)-2-butenal",,PERFUMING,4060400%
9802200%,"2,3-DIMETHYL-4-FORMYL-1-PHENYL-5-PYRAZOLONE",,, 950-81-2, 213-452-0,"Antipyraldehyde,4-Antipyrinecarboxaldehyde,1H-Pyrazole-4-carboxaldehyde, 2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-",,HAIR DYEING,4395100%
9529800%,"2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE",,, , ,"2,3-Epoxypropyl Cocodimethylammonium Chloride,Glycidyl Cocodimethylammonium Chloride",,NOT REPORTED,4313200%
9529700%,"2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE",,, , ,Glycidyl Lauryldimethylammonium Chloride,,NOT REPORTED,4321000%
9529600%,"2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE",,, 3033-77-0, 221-221-0,"(2,3-Epoxypropyl)trimethylammonium chloride,Glycidyl Trimethylammonium Chloride,G-MAC,2-Oxiranemethanaminium, N,N,N-trimethyl-, chloride (1:1)",II/1473,NOT REPORTED,4404200%
4169300%,"2,3-NAPHTHALENEDIOL",,, 92-44-4, 202-156-7,"Naphthalene-2,3-diol",II/1213,HAIR DYEING,4046600%
4130200%,"2,3-XYLENOL",,, 526-75-0, 208-395-3,"2,3-Xylenol",,PERFUMING,4060400%
4118400%,"2,4,6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE",,, 1423-46-7, 215-833-7,"2,4,6-Trimethylcyclohex-3-enecarbaldehyde",,PERFUMING,4060400%
4120200%,"2,4,6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE",,, 67801-30-3, 267-150-9,"5-(2,4,6-Trimethyl-3-cyclohexenyl)pent-4-en-3-one",,PERFUMING,4060400%
4124100%,"2,4,6-TRIMETHYL-4-PHENYL-1,3-DIOXANE",,, 5182-36-5, 225-963-6,"2,4,6-Trimethyl-4-phenyl-1,3-dioxane",,PERFUMING,4060400%
4120600%,"2,4,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",,, 67634-05-3, 266-808-2,"2,4,6-Trimethylcyclohexylmethyl acetate",,PERFUMING,4060400%
4170700%,"2,4-DIAMINO-5-METHYLPHENETOLE HCL",,, 113715-25-6, -,"1,3-Benzenediamine, 4-ethoxy-6-methyl- ",II/1227,HAIR DYEING,4046600%
5418200%,"2,4-DIAMINO-5-METHYLPHENOXYETHANOL",,, 141614-05-3, ,"Ethanol, 2-(2,4-diamino-5-methylphenoxy)-, dihydrochloride",II/1314,HAIR DYEING,4046600%
3147200%,"2,4-DIAMINO-5-METHYLPHENOXYETHANOL HCL",,, 113715-27-8, ,"Ethanol, 2-(2,4-diamino-5-methylphenoxy)-, dihydrochloride",II/1314,HAIR DYEING,4046600%
4169400%,"2,4-DIAMINODIPHENYLAMINE",,, 136-17-7, ,"1,2,4-benzenetriamine, N-phenyl-
",II/1214,HAIR DYEING,4046600%
3147300%,"2,4-DIAMINOPHENOL",,, 95-86-3, 202-459-4,"2,4-diaminophenol",II/1338,HAIR DYEING,4046600%
3147500%,"2,4-DIAMINOPHENOL HCL",,, 137-09-7, 205-279-4,4-hydroxy-m-phenylenediammonium dichloride,II/1338,HAIR DYEING,4046600%
3147600%,"2,4-DIAMINOPHENOXYETHANOL HCL",,, 66422-95-5, 266-357-1,"2-(2,4-diaminophenoxy)ethanol dihydrochloride",III/242,HAIR DYEING,4046900%
5418300%,"2,4-DIAMINOPHENOXYETHANOL SULFATE",,, 70643-20-8, 274-713-2,"[4-(2-hydroxyethoxy)-1,3-phenylene]diammonium sulphate",III/242,HAIR DYEING,4046900%
3954100%,"2,4-DIETHYLPHENYL METHYL KETONE",,, 52191-01-2, 257-727-3,"1-(2,4-Diethylphenyl)ethan-1-one",,PERFUMING,4060400%
3960700%,"2,4-DIMETHYL CYCLOHEXENECARBONITRILE",,, 66848-41-7, 266-498-9,"3-cyclohexene-1-carbonitrile, 2,4-Dimethyl",,PERFUMING,4060400%
3925100%,"2,4-DIMETHYL-2-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE",,, 131812-48-1, -,"2,4-Dimethyl-2-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-1,3-dioxolane",,PERFUMING,4060400%
7406100%,"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",,, 68039-49-6, 268-264-1,"2,4-dimethylcyclohex-3-ene-1-carbaldehyde",,"FRAGRANCE, PERFUMING, TONIC",4046600%
3960800%,"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL",,, 67634-17-7, 266-821-3,"2,4-Dimethylcyclohex-3-ene-1-methanol",,PERFUMING,4060400%
3961000%,"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE",,, 67634-26-8, 266-831-8,"2,4-Dimethylcyclohex-3-ene-1-methyl acetate",,PERFUMING,4060400%
3958500%,"2,4-DIMETHYL-4,4A,5,9B-TETRAHYDROINDENO-1,3-DIOXIN",,, 27606-09-3, 248-561-2,"2,4-Dimethyl-4,4a,5,9b-tetrahydroindeno(1,2-d)-1,3-dioxin",,PERFUMING,4060400%
3924300%,"2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN",,, 82461-14-1, 279-967-8,"2,4-Dimethyl-4-phenyltetrahydrofuran",,PERFUMING,4060400%
3958700%,"2,4-DIMETHYLBENZYLACETATE",,, 62346-96-7, 263-518-8,"2,4-Dimethylbenzyl acetate",,PERFUMING,4060400%
3961900%,"2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE",,, 67634-22-4, 266-827-6,"2,4-Dimethylcyclohexylmethyl acetate",,PERFUMING,4060400%
3962700%,"2,4-DIMETHYLHEPTA-2,2-DIENAL",,, 85136-08-9, 285-731-5,"2,4-Dimethylhepta-2,2-dienal",,PERFUMING,4060400%
3924700%,"2,4-DIMETHYLPYRIDINE",,, 108-47-4, 203-586-8,"2,4-Dimethylpyridine",,PERFUMING,4060400%
4014000%,"2,4-HEXADIENAL",,, 142-83-6, 205-564-3,"Trans,trans-2,4-Hexadienal",,PERFUMING,4060400%
4014200%,"2,4-HEXADIENOL",,, 111-28-4, 203-853-9,"Hexa-2,4-dien-1-ol",,PERFUMING,4060400%
4014300%,"2,4-HEXADIENYL ACETATE",,, 1516-17-2, 216-163-8,"Hexa-2,4-dienyl acetate",,PERFUMING,4060400%
4130300%,"2,4-XYLENOL",,, 105-67-9, 203-321-6,"2,4-Xylenol",,PERFUMING,4060400%
4124000%,"2,5,5-TRIMETHYL-2-PHENYL-1,3-DIOXANE",,, 5406-58-6, 226-466-7,"2,5,5-Trimethyl-2-phenyl-1,3-dioxane",,PERFUMING,4060400%
5418400%,"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",,, 1603-02-7, 216-500-9,"4-Hydroxy-2,5,6- triaminopyrimidine sulfate",III/301,HAIR DYEING,4317200%
4119300%,"2,5,6-TRIMETHYL-2-CYCLOHEXENONE",,, 20030-30-2, 243-473-0,"2,5,6-Trimethylcyclohex-2-en-1-one",,PERFUMING,4060400%
3957100%,"2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL",,, 84041-80-5, 281-860-6,"2,5-Dihydro-4-methylthiazol-5-ethanol",,PERFUMING,4060400%
8288100%,"2,5-DIHYDROXYBENZOIC ACID",,, 490-79-9, 207-718-5,Gentisic acid; 5-Hydroxysalicylic Acid ,,SKIN CONDITIONING,4046600%
9654200%,"2,5-DIHYDROXYBENZOYL DIPEPTIDE-27",,, , ," 2,5-Dihydroxybenzoyl Dipeptide-27 is the product obtained by the reaction of 2,5-Dihydroxybenzoic Acid and Dipeptide-27.",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4355300%
9654100%,"2,5-DIHYDROXYBENZOYL DIPEPTIDE-48",,, , ,"2,5-Dihydroxybenzoyl Dipeptide-48 is the product obtained by the reaction of 2,5-Dihydroxybenzoic Acid and Dipeptide-48.",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4355300%
3925800%,"2,5-DIMETHYL-2-VINYLHEX-4-ENAL",,, 56134-05-5, 260-006-6,"2,5-Dimethyl-2-vinylhex-4-enal",,PERFUMING,4060400%
3924500%,"2,5-DIMETHYLPYRAZINE",,, 123-32-0, 204-618-3,"2,5-Dimethylpyrazine",,PERFUMING,4060400%
4130400%,"2,5-XYLENOL",,, 95-87-4, 202-461-5,"2,5-Dimethyl-phenol",,PERFUMING,4060400%
4118000%,"2,6,6-TRIMETHYL-1-CYCLOHEXENE-1-ACETALDEHYDE",,, 472-66-2, 207-454-0,"2,6,6-Trimethyl-1-cyclohexene-1-acetaldehyde",,PERFUMING,4060400%
4118100%,"2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-ACETALDEHYDE",,, 472-64-0, 207-453-5,"2,6,6-Trimethyl-2-cyclohexene-1-acetaldehyde",,PERFUMING,4060400%
4118200%,"2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-CARBALDEHYDE",,, 432-24-6, 207-080-8,"2,6,6-Trimethylcyclohex-2-ene-1-carbaldehyde",,PERFUMING,4060400%
4118500%,"2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE",,, 432-25-7, 207-081-3,"2,6,6-Trimethylcyclohexene-1-carbaldehyde",,PERFUMING,4060400%
4169500%,"2,6-BIS(2-HYDROXYETHOXY)-3,5-PYRIDINEDIAMINE HCL",,, 117907-42-3, ,"Ethanol, 2,2'-[(3,5-Diamino-2,6-Pyridinediyl)Bis(Oxy)]Bis-, Dihydrochloride ",II/1215,HAIR DYEING,4046600%
